symbol,name,ml_score_raw,ml_score,sector,water_vulnerability,w_stress_weighted,pct_ops_high_stress
NSIT,Insight Enterprises Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NSCI,Nuveen Securitized Income ETF,0.6499777208869664,50.0,,0.3,2.5,0.0
NSC,Norfolk Southern Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
NSA-P-B,National Storage Affiliates Trust,0.6499777208869664,50.0,,0.3,2.5,0.0
NSA-P-A,National Storage Affiliates Trust,0.6499777208869664,50.0,,0.3,2.5,0.0
NSA,National Storage Affiliates Trust,0.6499777208869664,50.0,,0.3,2.5,0.0
NRXS,Neuraxis Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NRXPW,NRX Pharmaceuticals Inc - Warrants (24/05/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
NRXP,NRX Pharmaceuticals Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NRUC,National Rural Utilities Coop Finance Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
NRT,North European Oil Royalty Trust,0.6499777208869664,50.0,,0.3,2.5,0.0
NRSNW,NeuroSense Therapeutics Ltd - Warrants (09/11/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
NRSN,NeuroSense Therapeutics Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
NRP,Natural Resource Partners LP,0.6499777208869664,50.0,,0.3,2.5,0.0
NRO-R-W,Neuberger Berman Real Estate Securities Income Fund Inc Rights expiring February 19 2025 Rights when issued,0.6499777208869664,50.0,,0.3,2.5,0.0
NRO-R,Neuberger Berman Real Estate Securities Income Fund Inc Rights expiring February 19 2025 Rights,0.6499777208869664,50.0,,0.3,2.5,0.0
NRIX,Nurix Therapeutics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NRIM,Northrim Bancorp Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTCL,NetClass Technology Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
NTES,NetEase Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTRSO,Northern Trust Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST,NTEST,0.6499777208869664,50.0,,0.3,2.5,0.0
NTRP,Neurotrope Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTRBW,Nutriband Inc - Warrants (30/09/2026),0.6499777208869664,50.0,,0.3,2.5,0.0
NTRB,Nutriband Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTRA,Natera Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTR,Nutrien Ltd,0.6499777208869664,50.0,,0.3,2.5,0.0
NTNX,Nutanix Inc - Class A,0.6499777208869664,50.0,,0.3,2.5,0.0
NTLA,Intellia Therapeutics Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTIP,Network-1 Technologies Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTIC,Northern Technologies International Corp,0.6499777208869664,50.0,,0.3,2.5,0.0
NTHI,NeOnc Technologies Holdings Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTGR,Netgear Inc,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST-Z,,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST-Y,,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST-Q,,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST-P,,0.6499777208869664,50.0,,0.3,2.5,0.0
NTEST-O,,0.6499777208869664,50.0,,0.3,2.5,0.0
